variable,family,aggregation_note
bs_m_SP500_3M,other,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
bs_m_SLOPE_3M,other,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
bs_m_BCOM_3M,other,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
bs_m_TR_SKEW,other,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
bs_fomc_Unscheduled,other,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
bs_fomc_FF1,other,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
bs_fomc_FF2,other,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
bs_fomc_ED1,other,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
bs_fomc_ED2,other,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
bs_fomc_ED3,other,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
bs_fomc_ED4,other,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
bs_fomc_SP500,other,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
bs_fomc_SP500 emini,other,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
bs_fomc_TNOTE02,other,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
bs_fomc_TNOTE05,other,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
bs_fomc_TNOTE10,other,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
bs_fomc_TBOND,other,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
bs_fomc_MPS,other,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
bs_fomc_MPS_ORTH,other,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
bs_fomc_NFP_SURP,other,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
bs_fomc_NFP_12M,other,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
bs_fomc_SP500_3M,other,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
bs_fomc_SLOPE_3M,other,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
bs_fomc_BCOM_3M,other,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
bs_fomc_TR_SKEW,other,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
bs_fomc_event_count,other,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
usmpd_me_MP1,USMPD raw monetary events,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
usmpd_me_MP2,USMPD raw monetary events,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
usmpd_me_FF1,USMPD raw monetary events,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
usmpd_me_FF2,USMPD raw monetary events,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
usmpd_me_OIS1Y,USMPD raw monetary events,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
usmpd_me_OIS2Y,USMPD raw monetary events,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
usmpd_me_UST2Y,USMPD raw monetary events,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
usmpd_me_UST5Y,USMPD raw monetary events,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
usmpd_me_UST10Y,USMPD raw monetary events,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
usmpd_me_SP500,USMPD raw monetary events,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
usmpd_me_SPFUT,USMPD raw monetary events,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
usmpd_me_DXY,USMPD raw monetary events,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
usmpd_me_SEP,USMPD raw monetary events,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
usmpd_me_Unscheduled,USMPD raw monetary events,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
usmpd_me_PC,USMPD raw monetary events,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
usmpd_me_event_count,USMPD raw monetary events,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
bs_m_MPS_ORTH_y,other,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
rr_resid_romer,Updated Romer-Romer narrative,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
rr_resid_full,Updated Romer-Romer narrative,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
uk_Target,UKMPESD,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
uk_Path,UKMPESD,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
uk_QE,UKMPESD,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
uk_event_count,UKMPESD,Monthly value; quarterly/yearly files aggregate by sum except updated RR Q/Y official files if detected.
